block,model_properties,editor_entrypoint,renderer_branch,responsive_effective,recipe_coverage,architectural_limit
banner,"imageUrl,height,fit,positionX,positionY,overlayColor,overlayOpacity,blend,blendStrength,fusionMode,fusionDepth,fusionStrength,radius","MediaPanel; BannerCompositionPanel","CanvasBlock: banner","hidden only; no full-screen override","yes","single fixed hero slot"
profile,"avatarUrl,logoUrl,size,shape,borderWidth,borderColor,shadow,align,verticalPosition,overlap","MediaPanel; AvatarCompositionPanel","CanvasBlock: profile","hidden only; no breakpoint order","yes","one identity block; no structural alternative"
heading,"text,fontFamily,fontSize,fontWeight,color,align,letterSpacing,lineHeight,transform","Text; Font; Color; Format","CanvasBlock: heading","hidden,fontSize,align","yes","linear content block"
text,"text,fontFamily,fontSize,fontWeight,color,align,letterSpacing,lineHeight,transform","Text; Font; Color; Format","CanvasBlock: text","hidden,fontSize,align","yes","linear content block"
links,"items,layout,linkStyleMode,LinkItem.style","Button","CanvasBlock: links","hidden,columns,gap","yes","internal CTA grid only"
socials,"items,align,gap,size,color,socialStyle","SocialPanel","CanvasBlock: socials","hidden,gap","yes","no breakpoint ordering of network items"
image,"url,alt,height,fit,positionX,positionY,radius,filters","MediaPanel","CanvasBlock: image","hidden; no media-specific override","yes","single vertical media card"
video,"items,layout,aspectRatio,background,color","VideoPanel","CanvasBlock: video","hidden; block-local two column","yes","opens URL; not embedded player"
cards,"items,layout,background,color,surface style","CardsPanel; SurfaceControls","CanvasBlock: cards","hidden,columns,gap","yes","grid is internal to cards block"
separator,"dividerStyle,color,width","DecorationPanel","CanvasBlock: separator","hidden","yes","decorative separator only"
spacer,"height","ContentBlockPanel","CanvasBlock: spacer","hidden; height global","yes","vertical rhythm only"
gallery,"items,layout,gap,radius,aspectRatio","ContentBlockPanel","CanvasBlock: gallery","hidden,columns,gap","yes","grid is internal to gallery block"
services,"items,layout,icon,imageUrl,CTA","ContentBlockPanel","CanvasBlock: services","hidden,columns,gap","yes","grid is internal to services block"
reviews,"items,layout,featuredId","ContentBlockPanel","CanvasBlock: reviews","hidden,columns,gap","yes empty","no fabricated review content permitted"
products,"items,layout,price,imageUrl,CTA","ContentBlockPanel","CanvasBlock: products","hidden,columns,gap","yes","grid is internal to products block"
booking,"title,description,cta,url","ContentBlockPanel","CanvasBlock: booking","hidden","yes","link card only; no booking engine"
faq,"items,layout","ContentBlockPanel","CanvasBlock: faq","hidden,columns,gap","yes","cards in linear page flow"
contact,"title,description,email,phone,url,cta","ContentBlockPanel","CanvasBlock: contact","hidden","yes","link card only"
map,"title,address,url","ContentBlockPanel","CanvasBlock: map","hidden","yes","link to map search; not GIS"
shape,"shape,color,stroke,opacity,size,rotation,position","DecorationPanel","CanvasBlock: shape","hidden","yes","discrete positions; not free coordinates"
ring,"color,thickness,size,partial,position","DecorationPanel","CanvasBlock: ring","hidden","yes","discrete positions; not section wrapper"
ornament,"preset,position,insetX,insetY,size,thickness,color,opacity","DecorationPanel","CanvasBlock: ornament","hidden","yes","discrete positions; no arbitrary layers"
frame,"preset,inset,thickness,color,opacity,radius","DecorationPanel","CanvasBlock: frame","hidden","yes","decorative only"
particles,"preset,quantity,size,opacity,speed,direction,color,randomness,blur","DecorationPanel","CanvasBlock: particles","hidden","yes","randomness/blur not applied individually"
footer,"topText,bottomText,align,preset,fontFamily,fontSize,color,opacity,divider","FooterPanel","CanvasBlock: footer","hidden","yes","single closing block"
